Detector, Descriptor, Distance, Number of keypoints, Number of matches, Det time, Desc time, Total time
SHITOMASI, BRISK, DES_BINARY, 1179, 767, 11.6486, 186.614, 198.263
SHITOMASI, BRISK, DES_HOG, 1179, 721, 11.5439, 195.68, 207.223
SHITOMASI, BRIEF, DES_BINARY, 1179, 944, 11.9451, 1.023, 12.9681
SHITOMASI, BRIEF, DES_HOG, 1179, 868, 12.5092, 1.1221, 13.6313
SHITOMASI, ORB, DES_BINARY, 1179, 907, 13.0397, 3.13388, 16.1736
SHITOMASI, ORB, DES_HOG, 1179, 803, 13.4939, 3.09803, 16.592
SHITOMASI, FREAK, DES_BINARY, 1179, 766, 9.52039, 28.472, 37.9923
SHITOMASI, FREAK, DES_HOG, 1179, 608, 8.93358, 28.4765, 37.4101
SHITOMASI, AKAZE, DES_BINARY, 1179, 0, 10.4119, 0, 10.4119
SHITOMASI, AKAZE, DES_HOG, 1179, 0, 10.9767, 0, 10.9767
SHITOMASI, SIFT, DES_BINARY, 1179, 0, 8.87206, 10.642, 19.5141
SHITOMASI, SIFT, DES_HOG, 1179, 1002, 8.65869, 10.3768, 19.0354
HARRIS, BRISK, DES_BINARY, 248, 142, 9.98684, 192.831, 202.818
HARRIS, BRISK, DES_HOG, 248, 134, 9.87577, 192.014, 201.89
HARRIS, BRIEF, DES_BINARY, 248, 173, 10.0106, 0.319494, 10.3301
HARRIS, BRIEF, DES_HOG, 248, 158, 10.2945, 0.368132, 10.6627
HARRIS, ORB, DES_BINARY, 248, 160, 10.1011, 2.66614, 12.7673
HARRIS, ORB, DES_HOG, 248, 159, 10.3426, 2.78444, 13.127
HARRIS, FREAK, DES_BINARY, 248, 146, 10.458, 27.9193, 38.3773
HARRIS, FREAK, DES_HOG, 248, 135, 10.4245, 27.9672, 38.3917
HARRIS, AKAZE, DES_BINARY, 248, 0, 11.2069, 0, 11.2069
HARRIS, AKAZE, DES_HOG, 248, 0, 12.4547, 0, 12.4547
HARRIS, SIFT, DES_BINARY, 248, 0, 10.6715, 10.3019, 20.9735
HARRIS, SIFT, DES_HOG, 248, 188, 10.2742, 10.23, 20.5042
FAST, BRISK, DES_BINARY, 1491, 899, 0.915899, 195.539, 196.455
FAST, BRISK, DES_HOG, 1491, 795, 0.930269, 195.142, 196.073
FAST, BRIEF, DES_BINARY, 1491, 1099, 0.914015, 0.704442, 1.61846
FAST, BRIEF, DES_HOG, 1491, 921, 0.921277, 0.628304, 1.54958
FAST, ORB, DES_BINARY, 1491, 1081, 0.911985, 2.95444, 3.86643
FAST, ORB, DES_HOG, 1491, 904, 0.896069, 3.19303, 4.0891
FAST, FREAK, DES_BINARY, 1491, 881, 0.892229, 28.9455, 29.8377
FAST, FREAK, DES_HOG, 1491, 679, 0.920379, 29.0215, 29.9418
FAST, AKAZE, DES_BINARY, 1491, 0, 0.904725, 0, 0.904725
FAST, AKAZE, DES_HOG, 1491, 0, 0.927149, 0, 0.927149
FAST, SIFT, DES_BINARY, 1491, 0, 0.916387, 12.3977, 13.314
FAST, SIFT, DES_HOG, 1491, 1110, 0.931627, 11.7441, 12.6757
BRISK, BRISK, DES_BINARY, 2762, 1570, 224.836, 197.868, 422.703
BRISK, BRISK, DES_HOG, 2762, 1346, 226.51, 199.801, 426.311
BRISK, BRIEF, DES_BINARY, 2762, 1704, 226.51, 0.80879, 227.319
BRISK, BRIEF, DES_HOG, 2762, 1389, 225.42, 0.702631, 226.123
BRISK, ORB, DES_BINARY, 2762, 1510, 225.501, 10.1085, 235.61
BRISK, ORB, DES_HOG, 2762, 939, 229.225, 10.0139, 239.239
BRISK, FREAK, DES_BINARY, 2762, 1526, 235.979, 29.2803, 265.259
BRISK, FREAK, DES_HOG, 2762, 1129, 228.718, 29.3835, 258.102
BRISK, AKAZE, DES_BINARY, 2762, 0, 229.267, 0, 229.267
BRISK, AKAZE, DES_HOG, 2762, 0, 229.532, 0, 229.532
BRISK, SIFT, DES_BINARY, 2762, 0, 231.082, 18.5538, 249.636
BRISK, SIFT, DES_HOG, 2762, 1739, 232.253, 18.4294, 250.682
ORB, BRISK, DES_BINARY, 1161, 751, 6.85371, 202.346, 209.199
ORB, BRISK, DES_HOG, 1161, 669, 5.85568, 202.058, 207.914
ORB, BRIEF, DES_BINARY, 1161, 545, 5.88058, 0.45844, 6.33902
ORB, BRIEF, DES_HOG, 1161, 470, 6.24513, 0.495836, 6.74097
ORB, ORB, DES_BINARY, 1161, 761, 5.98814, 10.8478, 16.836
ORB, ORB, DES_HOG, 1161, 542, 6.02687, 10.907, 16.9339
ORB, FREAK, DES_BINARY, 1161, 421, 5.75143, 29.4582, 35.2097
ORB, FREAK, DES_HOG, 1161, 366, 5.81221, 29.2807, 35.0929
ORB, AKAZE, DES_BINARY, 1161, 0, 5.60344, 0, 5.60344
ORB, AKAZE, DES_HOG, 1161, 0, 5.87208, 0, 5.87208
